"Age","Attrition","BusinessTravel","DailyRate","Department","DistanceFromHome","Education","EducationField","EmployeeNumber","EnvironmentSatisfaction","Gender","HourlyRate","JobInvolvement","JobLevel","JobRole","JobSatisfaction","MaritalStatus","MonthlyIncome","MonthlyRate","NumCompaniesWorked","OverTime","PercentSalaryHike","PerformanceRating","RelationshipSatisfaction","StockOptionLevel","TotalWorkingYears","TrainingTimesLastYear","WorkLifeBalance","YearsAtCompany","YearsInCurrentRole","YearsSinceLastPromotion","YearsWithCurrManager"
34,"No","Travel_Rarely",1351,"Research & Development",1,4,"Life Sciences",1580,2,"Male",45,3,2,"Research Scientist",4,"Married",5484,13008,9,"No",17,3,2,1,9,3,2,2,2,2,1
36,"Yes","Travel_Rarely",660,"Research & Development",15,3,"Other",1052,1,"Male",81,3,2,"Laboratory Technician",3,"Divorced",4834,7858,7,"No",14,3,2,1,9,3,2,1,0,0,0
51,"No","Travel_Rarely",833,"Research & Development",1,3,"Life Sciences",353,3,"Male",96,3,1,"Research Scientist",4,"Married",2723,23231,1,"No",11,3,2,0,1,0,2,1,0,0,0
31,"No","Travel_Rarely",1003,"Sales",5,3,"Technical Degree",1749,1,"Male",51,3,2,"Sales Executive",3,"Married",8346,20943,1,"No",19,3,3,1,6,3,3,5,2,0,2
28,"No","Travel_Rarely",1476,"Research & Development",16,2,"Medical",412,2,"Male",68,4,2,"Healthcare Representative",1,"Single",5661,4824,0,"No",19,3,3,0,9,2,3,8,3,0,7
49,"No","Travel_Rarely",527,"Research & Development",8,2,"Other",944,1,"Female",51,3,3,"Laboratory Technician",2,"Married",7403,22477,4,"No",11,3,3,1,29,3,2,26,9,1,7
38,"No","Travel_Rarely",849,"Research & Development",25,2,"Life Sciences",421,1,"Female",81,2,3,"Research Director",2,"Married",12061,26707,3,"No",17,3,3,1,19,2,3,10,8,0,1
43,"No","Travel_Rarely",1001,"Research & Development",7,3,"Life Sciences",451,3,"Female",43,3,3,"Healthcare Representative",1,"Married",9985,9262,8,"No",16,3,1,1,10,1,2,1,0,0,0
34,"No","Travel_Rarely",216,"Sales",1,4,"Marketing",1047,2,"Male",75,4,2,"Sales Executive",4,"Divorced",9725,12278,0,"No",11,3,4,1,16,2,2,15,1,0,9
55,"Yes","Travel_Rarely",725,"Research & Development",2,3,"Medical",787,4,"Male",78,3,5,"Manager",1,"Married",19859,21199,5,"Yes",13,3,4,1,24,2,3,5,2,1,4
34,"No","Travel_Rarely",401,"Research & Development",1,3,"Life Sciences",1447,4,"Female",86,2,1,"Laboratory Technician",2,"Married",3294,3708,5,"No",17,3,1,1,7,2,2,5,4,0,2
23,"Yes","Travel_Rarely",1320,"Research & Development",8,1,"Medical",1684,4,"Male",93,2,1,"Laboratory Technician",3,"Single",3989,20586,1,"Yes",11,3,1,0,5,2,3,5,4,1,2
35,"No","Travel_Rarely",809,"Research & Development",16,3,"Medical",14,1,"Male",84,4,1,"Laboratory Technician",2,"Married",2426,16479,0,"No",13,3,3,1,6,5,3,5,4,0,3
35,"Yes","Travel_Rarely",104,"Research & Development",2,3,"Life Sciences",1569,1,"Female",69,3,1,"Laboratory Technician",1,"Divorced",2074,26619,1,"Yes",12,3,4,1,1,2,3,1,0,0,0
50,"Yes","Travel_Frequently",959,"Sales",1,4,"Other",1113,4,"Male",81,3,2,"Sales Executive",3,"Single",4728,17251,3,"Yes",14,3,4,0,5,4,3,0,0,0,0
36,"No","Travel_Frequently",1480,"Research & Development",3,2,"Medical",238,4,"Male",30,3,1,"Laboratory Technician",2,"Single",2088,15062,4,"No",12,3,3,0,13,3,2,8,7,7,2
49,"No","Travel_Rarely",1091,"Research & Development",1,2,"Technical Degree",431,3,"Female",90,2,4,"Healthcare Representative",3,"Single",13964,17810,7,"Yes",12,3,4,0,25,2,3,7,1,0,7
34,"No","Travel_Rarely",1320,"Research & Development",20,3,"Technical Degree",1265,3,"Female",89,4,1,"Research Scientist",3,"Married",2585,21643,0,"No",17,3,4,0,2,5,2,1,0,0,0
25,"Yes","Travel_Frequently",599,"Sales",24,1,"Life Sciences",1273,3,"Male",73,1,1,"Sales Representative",4,"Single",1118,8040,1,"Yes",14,3,4,0,1,4,3,1,0,1,0
34,"Yes","Travel_Rarely",790,"Sales",24,4,"Medical",1489,1,"Female",40,2,2,"Sales Executive",2,"Single",4599,7815,0,"Yes",23,4,3,0,16,2,4,15,9,10,10
28,"No","Travel_Rarely",440,"Research & Development",21,3,"Medical",221,3,"Male",42,3,1,"Research Scientist",4,"Married",2713,6672,1,"No",11,3,3,1,5,2,1,5,2,0,2
27,"No","Travel_Frequently",1297,"Research & Development",5,2,"Life Sciences",1850,4,"Female",53,3,1,"Laboratory Technician",4,"Single",2379,19826,0,"Yes",14,3,3,0,6,3,2,5,4,0,2
22,"No","Travel_Rarely",604,"Research & Development",6,1,"Medical",675,1,"Male",69,3,1,"Research Scientist",3,"Married",2773,12145,0,"No",20,4,4,0,3,3,3,2,2,2,2
45,"No","Travel_Rarely",1329,"Research & Development",2,2,"Other",1635,4,"Female",59,2,2,"Manufacturing Director",4,"Divorced",5770,5388,1,"No",19,3,1,2,10,3,3,10,7,3,9
25,"Yes","Travel_Rarely",383,"Sales",9,2,"Life Sciences",1439,1,"Male",68,2,1,"Sales Representative",1,"Married",4400,15182,3,"No",12,3,1,0,6,2,3,3,2,2,2
37,"Yes","Travel_Rarely",625,"Sales",1,4,"Life Sciences",970,1,"Male",46,2,3,"Sales Executive",3,"Married",10609,14922,5,"No",11,3,3,0,17,2,1,14,1,11,7
40,"No","Travel_Rarely",444,"Sales",2,2,"Marketing",1986,2,"Female",92,3,2,"Sales Executive",2,"Married",5677,4258,3,"No",14,3,3,1,15,4,3,11,8,5,10
33,"Yes","Travel_Rarely",465,"Research & Development",2,2,"Life Sciences",328,1,"Female",39,3,1,"Laboratory Technician",1,"Married",2707,21509,7,"No",20,4,1,0,13,3,4,9,7,1,7
31,"Yes","Travel_Rarely",359,"Human Resources",18,5,"Human Resources",1842,4,"Male",89,4,1,"Human Resources",1,"Married",2956,21495,0,"No",17,3,3,0,2,4,3,1,0,0,0
31,"Yes","Travel_Frequently",874,"Research & Development",15,3,"Medical",1160,3,"Male",72,3,1,"Laboratory Technician",3,"Married",2610,6233,1,"No",12,3,3,1,2,5,2,2,2,2,2
36,"No","Non-Travel",1229,"Sales",8,4,"Technical Degree",990,1,"Male",84,3,2,"Sales Executive",4,"Divorced",5079,25952,4,"No",13,3,4,2,12,3,3,7,7,0,7
60,"No","Travel_Rarely",370,"Research & Development",1,4,"Medical",1697,3,"Male",92,1,3,"Healthcare Representative",4,"Divorced",10883,20467,3,"No",20,4,3,1,19,2,4,1,0,0,0
41,"No","Travel_Rarely",549,"Research & Development",7,2,"Medical",1025,4,"Female",42,3,2,"Manufacturing Director",3,"Single",5003,23371,6,"No",14,3,2,0,8,6,3,2,2,2,1
44,"No","Travel_Rarely",1112,"Human Resources",1,4,"Life Sciences",665,1,"Female",50,2,2,"Human Resources",3,"Single",5985,26894,4,"No",11,3,2,0,10,1,4,2,2,0,2
33,"No","Travel_Rarely",147,"Human Resources",2,3,"Human Resources",1207,2,"Male",99,3,1,"Human Resources",3,"Married",3600,8429,1,"No",13,3,4,1,5,2,3,5,4,1,4
34,"No","Travel_Rarely",479,"Research & Development",7,4,"Medical",1577,1,"Male",35,3,1,"Research Scientist",4,"Single",2972,22061,1,"No",13,3,3,0,1,4,1,1,0,0,0
53,"No","Travel_Frequently",124,"Sales",2,3,"Marketing",1050,3,"Female",38,2,3,"Sales Executive",2,"Married",7525,23537,2,"No",12,3,1,1,30,2,3,15,7,6,12
30,"Yes","Travel_Frequently",109,"Research & Development",5,3,"Medical",1017,2,"Female",60,3,1,"Laboratory Technician",2,"Single",2422,25725,0,"No",17,3,1,0,4,3,3,3,2,1,2
35,"No","Non-Travel",1097,"Research & Development",11,2,"Medical",70,3,"Male",79,2,3,"Healthcare Representative",1,"Married",9884,8302,2,"Yes",13,3,3,1,10,3,3,4,0,2,3
30,"Yes","Travel_Frequently",464,"Research & Development",4,3,"Technical Degree",514,3,"Male",40,3,1,"Research Scientist",4,"Single",2285,3427,9,"Yes",23,4,3,0,3,4,3,1,0,0,0
40,"No","Travel_Rarely",1202,"Research & Development",2,1,"Medical",1375,2,"Female",89,4,2,"Healthcare Representative",3,"Divorced",6377,13888,5,"No",20,4,2,3,15,0,3,12,11,11,8
29,"No","Travel_Frequently",490,"Research & Development",10,3,"Life Sciences",1143,4,"Female",61,3,1,"Research Scientist",2,"Divorced",3291,17940,0,"No",14,3,4,2,8,2,2,7,5,1,1
55,"Yes","Travel_Rarely",436,"Sales",2,1,"Medical",842,3,"Male",37,3,2,"Sales Executive",4,"Single",5160,21519,4,"No",16,3,3,0,12,3,2,9,7,7,3
59,"No","Travel_Rarely",715,"Research & Development",2,3,"Life Sciences",1032,3,"Female",69,2,4,"Manufacturing Director",4,"Single",13726,21829,3,"Yes",13,3,1,0,30,4,3,5,3,4,3
37,"No","Travel_Rarely",1107,"Research & Development",14,3,"Life Sciences",515,4,"Female",95,3,1,"Laboratory Technician",1,"Divorced",3034,26914,1,"No",12,3,3,1,18,2,2,18,7,12,17
40,"No","Non-Travel",1151,"Research & Development",9,5,"Life Sciences",287,4,"Male",63,2,2,"Healthcare Representative",4,"Married",4876,14242,9,"No",14,3,4,1,5,5,1,3,2,0,2
34,"No","Travel_Rarely",1153,"Research & Development",1,2,"Medical",110,1,"Male",94,3,2,"Manufacturing Director",2,"Married",4325,17736,1,"No",15,3,3,0,5,2,3,5,2,1,3
22,"Yes","Travel_Frequently",1368,"Research & Development",4,1,"Technical Degree",593,3,"Male",99,2,1,"Laboratory Technician",3,"Single",3894,9129,5,"No",16,3,3,0,4,3,3,2,2,1,2
33,"No","Non-Travel",1283,"Sales",2,3,"Marketing",1756,4,"Female",62,3,2,"Sales Executive",2,"Single",5147,10697,8,"No",15,3,4,0,13,2,2,11,7,1,7
35,"No","Travel_Frequently",853,"Sales",18,5,"Life Sciences",74,2,"Male",71,3,3,"Sales Executive",1,"Married",9069,11031,1,"No",22,4,4,1,9,3,2,9,8,1,8
26,"No","Travel_Rarely",482,"Research & Development",1,2,"Life Sciences",1893,2,"Female",90,2,1,"Research Scientist",3,"Married",2933,14908,1,"Yes",13,3,3,1,1,3,2,1,0,1,0
23,"No","Travel_Rarely",571,"Research & Development",12,2,"Other",1982,4,"Male",78,3,1,"Laboratory Technician",4,"Single",2647,13672,1,"No",13,3,3,0,5,6,4,5,2,1,4
26,"Yes","Travel_Rarely",920,"Human Resources",20,2,"Medical",1818,4,"Female",69,3,1,"Human Resources",2,"Married",2148,6889,0,"Yes",11,3,3,0,6,3,3,5,1,1,4
30,"Yes","Travel_Rarely",138,"Research & Development",22,3,"Life Sciences",1004,1,"Female",48,3,1,"Research Scientist",3,"Married",2132,11539,4,"Yes",11,3,2,0,7,2,3,5,2,0,1
19,"Yes","Travel_Rarely",303,"Research & Development",2,3,"Life Sciences",243,2,"Male",47,2,1,"Laboratory Technician",4,"Single",1102,9241,1,"No",22,4,3,0,1,3,2,1,0,1,0
55,"No","Non-Travel",444,"Research & Development",2,1,"Medical",1074,3,"Male",40,2,4,"Manager",1,"Single",16756,17323,7,"No",15,3,2,0,31,3,4,9,7,6,2
49,"No","Travel_Rarely",465,"Research & Development",6,1,"Life Sciences",1661,3,"Female",41,2,4,"Healthcare Representative",3,"Married",13966,11652,2,"Yes",19,3,2,1,30,3,3,15,11,2,12
31,"No","Non-Travel",587,"Sales",2,4,"Life Sciences",1324,4,"Female",57,3,3,"Sales Executive",3,"Divorced",9852,8935,1,"Yes",19,3,1,1,10,5,2,10,8,9,6
39,"No","Travel_Rarely",835,"Research & Development",19,4,"Other",1871,4,"Male",41,3,2,"Research Scientist",4,"Divorced",3902,5141,8,"No",14,3,2,3,7,2,3,2,2,2,2
22,"No","Travel_Rarely",581,"Research & Development",1,2,"Life Sciences",2007,4,"Male",63,3,1,"Research Scientist",3,"Single",3375,17624,0,"No",12,3,4,0,4,2,4,3,2,1,2
44,"No","Travel_Rarely",1459,"Research & Development",10,4,"Other",40,4,"Male",41,3,2,"Healthcare Representative",4,"Married",6465,19121,2,"Yes",13,3,4,0,9,5,4,4,2,1,3
34,"No","Travel_Rarely",131,"Sales",2,3,"Marketing",1281,3,"Female",86,3,2,"Sales Executive",1,"Single",4538,6039,0,"Yes",12,3,4,0,4,3,3,3,2,0,2
31,"No","Travel_Rarely",1082,"Research & Development",1,4,"Medical",95,3,"Male",87,3,1,"Research Scientist",2,"Single",2501,18775,1,"No",17,3,2,0,1,4,3,1,1,1,0
46,"No","Travel_Rarely",150,"Research & Development",2,4,"Technical Degree",1228,4,"Male",60,3,2,"Manufacturing Director",4,"Divorced",7379,17433,2,"No",11,3,3,1,12,3,2,6,3,1,4
39,"No","Travel_Rarely",1383,"Human Resources",2,3,"Life Sciences",909,4,"Female",42,2,2,"Human Resources",4,"Married",5204,7790,8,"No",11,3,3,2,13,2,3,5,4,0,4
40,"Yes","Travel_Rarely",575,"Sales",22,2,"Marketing",492,3,"Male",68,2,2,"Sales Executive",3,"Married",6380,6110,2,"Yes",12,3,1,2,8,6,3,6,4,1,0
45,"No","Travel_Rarely",176,"Human Resources",4,3,"Life Sciences",1744,3,"Female",56,1,3,"Human Resources",3,"Married",9756,6595,4,"No",21,4,3,2,9,2,4,5,0,0,3
35,"No","Travel_Rarely",817,"Research & Development",1,3,"Medical",1369,4,"Female",60,2,2,"Laboratory Technician",4,"Married",5363,10846,0,"No",12,3,2,1,10,0,3,9,7,0,0
29,"Yes","Travel_Rarely",408,"Sales",23,1,"Life Sciences",1165,4,"Female",45,2,3,"Sales Executive",1,"Married",7336,11162,1,"No",13,3,1,1,11,3,1,11,8,3,10
33,"No","Travel_Rarely",501,"Research & Development",15,2,"Medical",2009,2,"Female",95,3,2,"Healthcare Representative",4,"Married",4878,21653,0,"Yes",13,3,1,1,10,6,3,9,7,8,1
39,"No","Travel_Frequently",711,"Research & Development",4,3,"Medical",1633,1,"Female",81,3,2,"Manufacturing Director",3,"Single",5042,3140,0,"No",13,3,4,0,10,2,1,9,2,3,8
39,"No","Travel_Rarely",1431,"Research & Development",1,4,"Medical",332,3,"Female",96,3,1,"Laboratory Technician",3,"Divorced",2232,15417,7,"No",14,3,3,3,7,1,3,3,2,1,2
44,"No","Travel_Rarely",1488,"Sales",1,5,"Marketing",68,2,"Female",75,3,2,"Sales Executive",1,"Divorced",5454,4009,5,"Yes",21,4,3,1,9,2,2,4,3,1,3
45,"No","Travel_Rarely",1015,"Research & Development",5,5,"Medical",1611,3,"Female",50,1,2,"Laboratory Technician",1,"Single",5769,23447,1,"Yes",14,3,1,0,10,3,3,10,7,1,4
55,"Yes","Travel_Rarely",725,"Research & Development",2,3,"Medical",787,4,"Male",78,3,5,"Manager",1,"Married",19859,21199,5,"Yes",13,3,4,1,24,2,3,5,2,1,4
60,"No","Travel_Rarely",1179,"Sales",16,4,"Marketing",732,1,"Male",84,3,2,"Sales Executive",1,"Single",5405,11924,8,"No",14,3,4,0,10,1,3,2,2,2,2
26,"No","Travel_Rarely",1066,"Research & Development",2,2,"Medical",1018,4,"Male",32,4,2,"Manufacturing Director",4,"Married",5472,3334,1,"No",12,3,2,0,8,2,3,8,7,1,3
50,"Yes","Travel_Rarely",410,"Sales",28,3,"Marketing",2055,4,"Male",39,2,3,"Sales Executive",1,"Divorced",10854,16586,4,"Yes",13,3,2,1,20,3,3,3,2,2,0
35,"No","Travel_Rarely",185,"Research & Development",23,4,"Medical",1826,2,"Male",91,1,1,"Laboratory Technician",3,"Married",2705,9696,0,"No",16,3,2,1,6,2,4,5,4,0,3
37,"Yes","Travel_Frequently",504,"Research & Development",10,3,"Medical",342,1,"Male",61,3,3,"Manufacturing Director",3,"Divorced",10048,22573,6,"No",11,3,2,2,17,5,3,1,0,0,0
34,"No","Travel_Rarely",1303,"Research & Development",2,4,"Life Sciences",579,4,"Male",62,2,1,"Research Scientist",3,"Divorced",2768,8416,3,"No",12,3,3,1,14,3,3,7,3,5,7
39,"No","Travel_Frequently",443,"Research & Development",8,1,"Life Sciences",602,3,"Female",48,3,1,"Laboratory Technician",3,"Married",3755,17872,1,"No",11,3,1,1,8,3,3,8,3,0,7
54,"No","Travel_Rarely",157,"Research & Development",10,3,"Medical",1980,3,"Female",77,3,2,"Manufacturing Director",1,"Single",4440,25198,6,"Yes",19,3,4,0,9,3,3,5,2,1,4
35,"No","Travel_Rarely",607,"Research & Development",9,3,"Life Sciences",880,4,"Female",66,2,3,"Manufacturing Director",3,"Married",10685,23457,1,"Yes",20,4,2,1,17,2,3,17,14,5,15
39,"No","Travel_Frequently",672,"Research & Development",7,2,"Medical",444,3,"Male",54,2,5,"Manager",4,"Married",19272,21141,1,"No",15,3,1,1,21,2,3,21,9,13,3
22,"No","Travel_Rarely",1136,"Research & Development",5,3,"Life Sciences",284,4,"Male",60,4,1,"Research Scientist",2,"Divorced",2328,12392,1,"Yes",16,3,1,1,4,2,2,4,2,2,2
49,"Yes","Travel_Frequently",1475,"Research & Development",28,2,"Life Sciences",1420,1,"Male",97,2,2,"Laboratory Technician",1,"Single",4284,22710,3,"No",20,4,1,0,20,2,3,4,3,1,3
42,"No","Travel_Frequently",288,"Research & Development",2,3,"Life Sciences",1547,4,"Male",40,3,3,"Healthcare Representative",4,"Married",10124,18611,2,"Yes",14,3,3,1,24,3,1,20,8,13,9
32,"No","Travel_Rarely",1018,"Research & Development",3,2,"Life Sciences",727,3,"Female",39,3,3,"Research Director",4,"Single",11159,19373,3,"No",15,3,4,0,10,6,3,7,7,7,7
39,"No","Non-Travel",105,"Research & Development",9,3,"Life Sciences",2022,4,"Male",87,3,5,"Manager",4,"Single",19431,15302,2,"No",13,3,3,0,21,3,2,6,0,1,3
54,"No","Travel_Frequently",1050,"Research & Development",11,4,"Medical",1520,2,"Female",87,3,4,"Manager",4,"Divorced",16032,24456,3,"No",20,4,1,1,26,2,3,14,9,1,12
41,"No","Travel_Rarely",509,"Research & Development",7,2,"Technical Degree",1085,2,"Female",43,4,1,"Research Scientist",3,"Married",3376,18863,1,"No",13,3,3,0,10,3,3,10,6,0,8
26,"No","Travel_Rarely",1443,"Sales",23,3,"Marketing",72,3,"Female",47,2,2,"Sales Executive",4,"Married",4157,21436,7,"Yes",19,3,3,1,5,2,2,2,2,0,0
51,"Yes","Travel_Frequently",1150,"Research & Development",8,4,"Life Sciences",179,1,"Male",53,1,3,"Manufacturing Director",4,"Single",10650,25150,2,"No",15,3,4,0,18,2,3,4,2,0,3
30,"No","Non-Travel",641,"Sales",25,2,"Technical Degree",475,4,"Female",85,3,2,"Sales Executive",3,"Married",4736,6069,7,"Yes",12,3,2,1,4,2,4,2,2,2,2
29,"No","Travel_Rarely",1370,"Research & Development",3,1,"Medical",1586,2,"Male",87,3,1,"Laboratory Technician",1,"Single",4723,16213,1,"Yes",18,3,4,0,10,3,3,10,9,1,5
25,"No","Travel_Rarely",583,"Sales",4,1,"Marketing",885,3,"Male",87,2,2,"Sales Executive",1,"Married",4256,18154,1,"No",12,3,1,0,5,1,4,5,2,0,3
26,"Yes","Travel_Frequently",887,"Research & Development",5,2,"Medical",848,3,"Female",88,2,1,"Research Scientist",3,"Married",2366,20898,1,"Yes",14,3,1,1,8,2,3,8,7,1,7
41,"Yes","Travel_Rarely",1085,"Research & Development",2,4,"Life Sciences",927,2,"Female",57,1,1,"Laboratory Technician",4,"Divorced",2778,17725,4,"Yes",13,3,3,1,10,1,2,7,7,1,0
35,"Yes","Travel_Rarely",763,"Sales",15,2,"Medical",1645,1,"Male",59,1,2,"Sales Executive",4,"Divorced",5440,22098,6,"Yes",14,3,4,2,7,2,2,2,2,2,2
33,"No","Travel_Frequently",1111,"Sales",5,1,"Life Sciences",1395,2,"Male",61,3,2,"Sales Executive",4,"Married",9998,19293,6,"No",13,3,1,0,8,2,4,5,4,1,2
33,"No","Travel_Frequently",508,"Sales",10,3,"Marketing",446,2,"Male",46,2,2,"Sales Executive",4,"Single",4682,4317,3,"No",14,3,3,0,9,6,2,7,7,0,1
34,"No","Travel_Frequently",648,"Human Resources",11,3,"Life Sciences",1289,3,"Male",56,2,2,"Human Resources",2,"Married",4490,21833,4,"No",11,3,4,2,14,5,4,10,9,1,8
31,"Yes","Travel_Frequently",874,"Research & Development",15,3,"Medical",1160,3,"Male",72,3,1,"Laboratory Technician",3,"Married",2610,6233,1,"No",12,3,3,1,2,5,2,2,2,2,2
44,"Yes","Travel_Rarely",1097,"Research & Development",10,4,"Life Sciences",1200,3,"Male",96,3,1,"Research Scientist",3,"Single",2936,10826,1,"Yes",11,3,3,0,6,4,3,6,4,0,2
32,"No","Non-Travel",1109,"Research & Development",29,4,"Medical",1046,4,"Female",69,3,1,"Laboratory Technician",3,"Single",4025,11135,9,"No",12,3,2,0,10,2,3,8,7,7,7
26,"Yes","Travel_Frequently",426,"Human Resources",17,4,"Life Sciences",608,2,"Female",58,3,1,"Human Resources",3,"Divorced",2741,22808,0,"Yes",11,3,2,1,8,2,2,7,7,1,0
36,"No","Travel_Rarely",917,"Research & Development",6,4,"Life Sciences",1221,3,"Male",60,1,1,"Laboratory Technician",3,"Divorced",2741,6865,1,"No",14,3,3,1,7,4,3,7,7,1,7
36,"Yes","Travel_Rarely",318,"Research & Development",9,3,"Medical",90,4,"Male",79,2,1,"Research Scientist",3,"Married",3388,21777,0,"Yes",17,3,1,1,2,0,2,1,0,0,0
37,"No","Travel_Rarely",799,"Research & Development",1,3,"Technical Degree",623,2,"Female",59,3,3,"Manufacturing Director",4,"Single",7491,23848,4,"No",17,3,4,0,12,3,4,6,5,1,2
33,"No","Travel_Frequently",1141,"Sales",1,3,"Life Sciences",52,3,"Female",42,4,2,"Sales Executive",1,"Married",5376,3193,2,"No",19,3,1,2,10,3,3,5,3,1,3
31,"Yes","Travel_Frequently",1445,"Research & Development",1,5,"Life Sciences",1459,3,"Female",100,4,3,"Manufacturing Director",2,"Single",7446,8931,1,"No",11,3,1,0,10,2,3,10,8,4,7
28,"No","Travel_Rarely",857,"Research & Development",10,3,"Other",1097,3,"Female",59,3,2,"Research Scientist",3,"Single",3660,7909,3,"No",13,3,4,0,10,4,4,8,7,1,7
35,"No","Travel_Rarely",1232,"Sales",16,3,"Marketing",406,3,"Male",96,3,3,"Sales Executive",2,"Married",8020,5100,0,"No",15,3,3,2,12,3,2,11,9,6,9
29,"Yes","Travel_Rarely",906,"Research & Development",10,3,"Life Sciences",994,4,"Female",92,2,1,"Research Scientist",1,"Single",2404,11479,6,"Yes",20,4,3,0,3,5,3,0,0,0,0
36,"No","Travel_Rarely",928,"Sales",1,2,"Life Sciences",857,2,"Male",56,3,2,"Sales Executive",4,"Married",6201,2823,1,"Yes",14,3,4,1,18,1,2,18,14,4,11
25,"No","Travel_Rarely",882,"Research & Development",19,1,"Medical",1358,4,"Male",67,3,1,"Laboratory Technician",4,"Married",3669,9075,3,"No",11,3,3,3,7,6,2,3,2,1,2
26,"Yes","Travel_Rarely",1357,"Research & Development",25,3,"Life Sciences",55,1,"Male",48,1,1,"Laboratory Technician",3,"Single",2293,10558,1,"No",12,3,3,0,1,2,2,1,0,0,1
46,"No","Travel_Rarely",717,"Research & Development",13,4,"Life Sciences",1727,3,"Male",34,3,2,"Healthcare Representative",2,"Single",5562,9697,6,"No",14,3,4,0,19,3,3,10,7,0,9
47,"Yes","Travel_Frequently",719,"Sales",27,2,"Life Sciences",785,2,"Female",77,4,2,"Sales Executive",3,"Single",6397,10339,4,"Yes",12,3,4,0,8,2,3,5,4,1,3
43,"No","Travel_Frequently",775,"Sales",15,3,"Life Sciences",754,4,"Male",47,2,2,"Sales Executive",4,"Married",6804,23683,3,"No",18,3,3,1,7,5,3,2,2,2,2
32,"No","Travel_Rarely",1373,"Research & Development",5,4,"Life Sciences",1966,4,"Male",56,2,2,"Manufacturing Director",4,"Single",9679,10138,8,"No",24,4,2,0,8,1,3,1,0,0,0
41,"No","Travel_Rarely",642,"Research & Development",1,3,"Life Sciences",1999,4,"Male",76,3,1,"Research Scientist",4,"Married",2782,21412,3,"No",22,4,1,1,12,3,3,5,3,1,0
32,"No","Travel_Rarely",267,"Research & Development",29,4,"Life Sciences",2010,3,"Female",49,2,1,"Laboratory Technician",2,"Single",2837,15919,1,"No",13,3,3,0,6,3,3,6,2,4,1
31,"Yes","Travel_Frequently",307,"Research & Development",29,2,"Medical",355,3,"Male",71,2,1,"Laboratory Technician",2,"Single",3479,11652,0,"No",11,3,2,0,6,2,4,5,4,1,4
33,"Yes","Travel_Rarely",587,"Research & Development",10,1,"Medical",584,1,"Male",38,1,1,"Laboratory Technician",4,"Divorced",3408,6705,7,"No",13,3,1,3,8,2,3,4,3,1,3
26,"Yes","Travel_Rarely",1330,"Research & Development",21,3,"Medical",1107,1,"Male",37,3,1,"Laboratory Technician",3,"Divorced",2377,19373,1,"No",20,4,3,1,1,0,2,1,1,0,0
